Date;CPI;Fraction;GS2;GS10;2y_returns;2y_real_returns;10y_returns;10y_real_returns
1962-01;30;1962,041667;;4,102;;;1,011592523;1
1962-02;30,1;1962,125;;4,002;;;1,011592523;1
1962-03;30,1;1962,208333;;3,862;;;1,014853831;1,00823175
1962-04;30,2;1962,291667;;3,862;;;1,003218333;1,023207854
1962-05;30,2;1962,375;;3,902;;;0,999933378;1,023101868
1962-06;30,2;1962,458333;;4,002;;;0,995077477;1,023033707
1962-07;30,3;1962,541667;;4,042;;;1,000071408;1,017997801
1962-08;30,3;1962,625;;3,962;;;1,009919884;1,014710526
1962-09;30,4;1962,708333;;3,942;;;1,004941082;1,024776337
1962-10;30,4;1962,791667;;3,922;;;1,004925946;1,02645221
1962-11;30,4;1962,875;;3,922;;;1,003268333;1,031508458
1962-12;30,4;1962,958333;;3,852;;;1,009030439;1,034879772
1963-01;30,4;1963,041667;;3,872;;;1,001565221;1,04422519
1963-02;30,4;1963,125;;3,942;;;0,997488712;1,045859633
1963-03;30,5;1963,208333;;3,952;;;1,002465674;1,043233178
1963-04;30,5;1963,291667;;3,952;;;1,003293333;1,042376581
1963-05;30,5;1963,375;;3,962;;;1,002474389;1,045809475
1963-06;30,6;1963,458333;;4,002;;;1,000031991;1,048397215
1963-07;30,7;1963,541667;;4,002;;;1,003335;1,04500451
1963-08;30,7;1963,625;;4,022;;;1,001701684;1,045074324
1963-09;30,7;1963,708333;;4,072;;;0,999277868;1,046852711
1963-10;30,8;1963,791667;;4,152;;;0,996899451;1,046096745
1963-11;30,8;1963,875;;4,082;;;1,009160666;1,039467383
1963-12;30,9;1963,958333;;4,142;;;0,998528991;1,048989596
1964-01;30,9;1964,041667;;4,152;;;1,002639931;1,044056729
1964-02;30,9;1964,125;;4,182;;;1,001028184;1,046812967
1964-03;30,9;1964,208333;;4,232;;;0,999441367;1,047889284
1964-04;30,9;1964,291667;;4,222;;;1,004335768;1,047303898
1964-05;30,9;1964,375;;4,192;;;1,00594902;1,051844766
1964-06;31;1964,458333;;4,152;;;1,006740275;1,058102212
1964-07;31,1;1964,541667;;4,192;;;1,000219084;1,061797872
1964-08;31;1964,625;;4,212;;;1,001874379;1,058615606
1964-09;31,1;1964,708333;;4,182;;;1,005941816;1,064021142
1964-10;31,1;1964,791667;;4,162;;;1,005107717;1,066901741
1964-11;31,2;1964,875;;4,202;;;1,000228921;1,072351173
1964-12;31,2;1964,958333;;4,212;;;1,002692189;1,069158847
1965-01;31,2;1965,041667;;4,192;;;1,005130458;1,072037225
1965-02;31,2;1965,125;;4,222;;;1,001066028;1,077537267
1965-03;31,3;1965,208333;;4,202;;;1,005138039;1,078685952
1965-04;31,4;1965,291667;;4,212;;;1,002692189;1,080764295
1965-05;31,4;1965,375;;4,232;;;1,001892547;1,080222726
1965-06;31,6;1965,458333;;4,202;;;1,005956226;1,082267098
1965-07;31,6;1965,541667;;4,222;;;1,001883463;1,081822735
1965-08;31,6;1965,625;;4,272;;;0,999482193;1,083860308
1965-09;31,6;1965,708333;;4,352;;;0,99712606;1,083299078
1965-10;31,7;1965,791667;;4,412;;;0,998814586;1,080185742
1965-11;31,7;1965,875;;4,482;;;0,998080701;1,075501788
1965-12;31,8;1965,958333;;4,652;;;0,990250892;1,073437579
1966-01;31,8;1966,041667;;4,692;;;1,000709769;1,059629838
1966-02;32;1966,125;;5,022;;;0,9781755;1,060381931
1966-03;32,1;1966,208333;;4,712;;;1,02870589;1,030756879
1966-04;32,3;1966,291667;;4,792;;;0,997621912;1,057042414
1966-05;32,3;1966,375;;4,802;;;1,003205601;1,047999085
1966-06;32,4;1966,458333;;4,972;;;0,990714146;1,051358552
1966-07;32,5;1966,541667;;5,052;;;0,997913215;1,038380988
1966-08;32,7;1966,625;;5,362;;;0,980406889;1,03302576
1966-09;32,7;1966,708333;;5,022;;;1,030982666;1,006591164
1966-10;32,9;1966,791667;;4,972;;;1,008093094;1,037778042
1966-11;32,9;1966,875;;5,122;;;0,992499142;1,03981714
1966-12;32,9;1966,958333;;4,642;;;1,04235864;1,032017619
1967-01;32,9;1967,041667;;4,522;;;1,013443723;1,075732482
1967-02;32,9;1967,125;;4,722;;;0,987955676;1,090194331
1967-03;33;1967,208333;;4,502;;;1,02150609;1,077063678
1967-04;33,1;1967,291667;;4,782;;;0,981674891;1,096893085
1967-05;33,2;1967,375;;4,812;;;1,001622887;1,07353925
1967-06;33,3;1967,458333;;5,222;;;0,972327324;1,072042683
1967-07;33,4;1967,541667;;5,162;;;1,009000852;1,039246134
1967-08;33,5;1967,625;;5,272;;;0,995820765;1,045460713
1967-09;33,6;1967,708333;;5,312;;;1,001314976;1,037983751
1967-10;33,7;1967,791667;;5,642;;;0,979407351;1,036255375
1967-11;33,8;1967,875;;5,742;;;0,997154215;1,011904511
1967-12;33,9;1967,958333;;5,702;;;1,007809436;1,006039568
1968-01;34,1;1968,041667;;5,542;;;1,016937248;1,010905325
1968-02;34,2;1968,125;;5,562;;;1,003096514;1,021997793
1968-03;34,3;1968,208333;;5,762;;;0,989553708;1,022164873
1968-04;34,4;1968,291667;;5,742;;;1,006311157;1,008538099
1968-05;34,5;1968,375;;5,862;;;0,995776904;1,011952841
1968-06;34,7;1968,458333;;5,642;;;1,021564544;1,004758458
1968-07;34,9;1968,541667;;5,392;;;1,023871585;1,020509618
1968-08;35;1968,625;;5,422;;;1,002196074;1,038883001
1968-09;35,1;1968,708333;;5,492;;;0,999175052;1,038189709
1968-10;35,3;1968,791667;;5,612;;;0,995466385;1,034377891
1968-11;35,4;1968,875;;5,782;;;0,991869124;1,023854492
1968-12;35,5;1968,958333;;6,162;;;0,976674272;1,01266093
1969-01;35,6;1969,041667;;6,192;;;1,002916081;0,986253849
1969-02;35,8;1969,125;;6,262;;;0,999998702;0,98635139
1969-03;36,1;1969,208333;;6,302;;;1,002274285;0,980839775
