Date;Predicted_Real_2y;Predicted_Real_5y;Predicted_Real_10y;Predicted_Real_30y;5y5y_approx;Predicted_BEi_2y;Predicted_BEi_5y;Predicted_BEi_10y;Predicted_BEi_30y;5y5y_approx
01-03-1959;NaN;1,9934;2,2126;NaN;2,4317;NaN;2;1,78;NaN;1,56
01-04-1959;NaN;2,1602;2,3154;NaN;2,4706;NaN;1,96;1,8;NaN;1,65
01-05-1959;NaN;2,2789;2,4183;NaN;2,5577;NaN;2,07;1,89;NaN;1,71
01-06-1959;NaN;2,0114;2,2242;NaN;2,437;NaN;2,49;2,12;NaN;1,74
01-07-1959;NaN;1,3301;1,4948;NaN;1,6596;NaN;3,25;2,91;NaN;2,56
01-08-1959;NaN;0,7664;0,9306;NaN;1,0947;NaN;3,8;3,5;NaN;3,2
01-09-1959;NaN;1,1968;1,0129;NaN;0,829;NaN;3,7;3,67;NaN;3,63
01-10-1959;NaN;1,9193;1,7693;NaN;1,6193;NaN;2,8;2,76;NaN;2,72
01-11-1959;NaN;2,6811;2,4222;NaN;2,1633;NaN;2,07;2,11;NaN;2,15
01-12-1959;NaN;3,39;3,1054;NaN;2,8208;NaN;1,62;1,58;NaN;1,55
01-01-1960;NaN;4,6763;4,3226;NaN;3,969;NaN;0,24;0,4;NaN;0,55
01-02-1960;NaN;4,3418;4,1946;NaN;4,0475;NaN;0,35;0,3;NaN;0,24
01-03-1960;NaN;3,9075;3,7964;NaN;3,6853;NaN;0,4;0,45;NaN;0,5
01-04-1960;NaN;4,0128;4,0877;NaN;4,1627;NaN;0,28;0,19;NaN;0,11
01-05-1960;NaN;3,6731;3,4748;NaN;3,2765;NaN;0,82;0,88;NaN;0,93
01-06-1960;NaN;3,284;3,4179;NaN;3,5517;NaN;0,84;0,73;NaN;0,63
01-07-1960;NaN;2,9247;2,8566;NaN;2,7884;NaN;0,87;1,04;NaN;1,22
01-08-1960;NaN;2,959;2,993;NaN;3,027;NaN;0,66;0,81;NaN;0,95
01-09-1960;NaN;3,1022;3,1067;NaN;3,1113;NaN;0,51;0,69;NaN;0,88
01-10-1960;NaN;2,9979;2,9226;NaN;2,8472;NaN;0,76;0,97;NaN;1,17
01-11-1960;NaN;2,8112;2,8658;NaN;2,9203;NaN;1;1,06;NaN;1,13
01-12-1960;NaN;2,4592;2,3691;NaN;2,279;NaN;1,21;1,47;NaN;1,73
01-01-1961;NaN;2,1967;2,0926;NaN;1,9885;NaN;1,47;1,75;NaN;2,02
01-02-1961;NaN;2,0737;2,0826;NaN;2,0916;NaN;1,59;1,7;NaN;1,81
01-03-1961;NaN;1,7349;1,8508;NaN;1,9668;NaN;1,87;1,89;NaN;1,91
01-04-1961;NaN;2,39;2,2094;NaN;2,0289;NaN;1,18;1,57;NaN;1,96
01-05-1961;NaN;2,5329;2,3978;NaN;2,2627;NaN;0,94;1,31;NaN;1,69
01-06-1961;2,8106;2,4932;2,1339;NaN;1,7746;0,49;1,32;1,75;NaN;2,18
01-07-1961;2,6954;2,2141;2,1832;NaN;2,1523;0,55;1,63;1,74;NaN;1,85
01-08-1961;2,4164;2,042;2,0915;NaN;2,141;1;1,92;1,95;NaN;1,98
01-09-1961;2,5654;1,9688;1,9718;NaN;1,9747;0,78;1,93;2,01;NaN;2,09
01-10-1961;2,6997;2,1049;2,1036;NaN;2,1022;0,56;1,7;1,82;NaN;1,94
01-11-1961;3,1168;2,6088;2,7916;NaN;2,9743;0,21;1,21;1,15;NaN;1,09
01-12-1961;2,8551;2,2473;2,3574;NaN;2,4674;0,59;1,66;1,7;NaN;1,74
01-01-1962;3,3599;2,3246;2,4799;NaN;2,6352;0,23;1,62;1,6;NaN;1,58
01-02-1962;2,5785;2,0206;2,2312;NaN;2,4417;0,79;1,87;1,81;NaN;1,75
01-03-1962;2,5003;2,0398;2,3818;NaN;2,7239;0,68;1,64;1,55;NaN;1,46
01-04-1962;2,3502;2,2323;2,482;NaN;2,7316;0,91;1,37;1,36;NaN;1,35
